credit_history,employment_status,collateral,payment_history,type_of_credit_accounts,public_records_and_collections,purpose_of_loan,income,assets_value,debt_to_income_ratio,length_of_credit_history,number_of_credit_inquiries,number_of_credit_accounts,number_of_credit_accounts_opened_last_12_months,current_balance_of_credit_accounts,total_credit_limit,total_credit_utilization,loan_amount,saving_account_balance,approval_status
Poor,Employed,House,Good,Student,Tax Lien,Business,42891,28661,50,100,4,2,2,8742,5559,1,2402,10153,Rejected
Poor,Unemployed,None,Excellent,Other,Bankruptcy,Business,18278,26347,67,0,1,0,4,6422,442,51,4280,7751,Rejected
Good,Employed,House,Good,Personal,None,Car Financing,22544,31784,89,95,0,2,3,648,16736,3,2610,6289,Rejected
Excellent,Self-Employed,House,Good,Student,Other,Business,24426,29187,57,5,3,2,1,12976,11415,8,2755,14875,Rejected
Good,Employed,None,Poor,Auto,Other,Debt Consolidation,42306,36590,31,11,1,5,4,3358,6211,81,2862,5885,Rejected
Good,Unemployed,Investment,Good,Student,Tax Lien,Business,19247,29462,44,75,1,4,5,17246,8287,39,4034,8202,Approved
Fair,Self-Employed,House,Poor,Auto,None,Debt Consolidation,24235,44332,84,70,4,2,5,16168,4992,65,2668,8535,Rejected
Fair,Self-Employed,Investment,Good,Personal,Judgement,Other,37913,29863,78,58,5,4,3,11437,1901,71,3772,16848,Rejected
Fair,Employed,House,Poor,Student,Other,Other,17857,34391,6,63,4,2,3,17157,966,54,4556,12921,Rejected
Fair,Employed,None,Poor,Mortgage,Other,Debt Consolidation,39036,42809,42,89,1,4,5,5418,7074,10,1354,8111,Rejected
Excellent,Self-Employed,Car,Fair,Personal,Collection,Other,38581,42689,14,1,4,3,1,9995,17132,84,2742,5301,Rejected
Fair,Employed,Other,Good,Other,Bankruptcy,Debt Consolidation,20924,35899,24,11,0,3,1,12234,19549,36,2445,13407,Rejected
Excellent,Employed,Car,Fair,Student,Tax Lien,Home Improvement,49891,15448,75,69,3,1,1,16640,15618,81,1623,14153,Rejected
Excellent,Self-Employed,Car,Excellent,Auto,Judgement,Car Financing,28371,36571,67,10,0,0,2,6979,19670,57,2635,14568,Rejected
Excellent,Self-Employed,None,Good,Other,Bankruptcy,Other,21531,40635,84,48,1,3,1,11163,10097,54,1559,18714,Rejected
Poor,Self-Employed,Other,Fair,Personal,Tax Lien,Business,38768,48939,63,67,0,5,0,1586,16887,32,1015,3349,Rejected
Excellent,Self-Employed,Investment,Excellent,Other,Tax Lien,Other,12043,13887,8,20,0,1,0,1263,14799,18,1084,5861,Rejected
Good,Unemployed,Car,Poor,Auto,Bankruptcy,Business,27675,33612,14,24,5,0,4,11409,829,30,3268,8499,Rejected
Poor,Self-Employed,Land,Fair,Student,None,Other,29991,16643,65,100,3,3,0,1249,2716,53,1824,7759,Rejected
Good,Employed,Investment,Excellent,Personal,Judgement,Other,45887,36023,68,96,1,1,3,7682,14956,51,2914,4677,Approved
Excellent,Unemployed,Investment,Excellent,Personal,Judgement,Home Improvement,31707,31980,30,53,4,0,5,8404,8011,88,1250,4750,Rejected
Good,Self-Employed,Car,Good,Mortgage,Other,Other,27525,17298,72,29,0,0,2,19785,15258,71,1743,10249,Approved
Excellent,Employed,Other,Excellent,Other,Other,Home Improvement,34580,11290,85,42,2,1,1,13723,15103,62,4299,18008,Rejected
Fair,Unemployed,Land,Good,Other,Collection,Business,19332,49417,26,46,2,3,4,7705,4015,59,2497,906,Rejected
Fair,Self-Employed,Car,Good,Auto,Other,Other,14979,24752,46,36,2,3,4,19430,14130,74,4139,5159,Rejected
Fair,Self-Employed,Other,Good,Mortgage,Other,Business,30257,33707,97,13,5,4,3,16867,8159,99,1647,13648,Rejected
Good,Self-Employed,Investment,Good,Mortgage,Tax Lien,Car Financing,49221,28299,58,43,2,5,5,12414,876,38,4824,3824,Rejected
Excellent,Employed,House,Poor,Personal,Collection,Other,48266,10379,19,85,5,4,0,11163,16502,8,3573,4600,Rejected
Excellent,Self-Employed,Land,Poor,Student,Collection,Debt Consolidation,18104,24217,82,58,3,4,1,7254,1459,45,4624,1964,Rejected
Good,Self-Employed,Car,Excellent,Mortgage,None,Debt Consolidation,37933,39782,82,91,0,0,3,8019,4717,20,2037,10970,Rejected
Poor,Employed,None,Excellent,Student,Judgement,Business,49495,27663,7,24,5,3,3,5189,5996,61,1726,13558,Rejected
Poor,Employed,None,Excellent,Other,None,Home Improvement,39996,45919,66,38,4,1,3,11257,53,53,3971,19208,Rejected
Excellent,Employed,None,Poor,Auto,Tax Lien,Home Improvement,19943,42429,62,92,4,4,1,17743,10910,51,3766,16222,Rejected
Excellent,Employed,Investment,Fair,Mortgage,Other,Home Improvement,16544,46225,45,20,3,0,3,10036,10352,88,4792,2073,Rejected
Good,Unemployed,Land,Fair,Student,Judgement,Debt Consolidation,13467,20784,30,68,0,3,4,3214,15292,60,1872,15726,Rejected
Fair,Self-Employed,None,Excellent,Student,Collection,Home Improvement,27923,16502,82,30,4,1,0,16341,15008,54,4715,14213,Rejected
Poor,Employed,Investment,Fair,Other,Other,Other,43650,38330,18,12,2,0,0,9800,15806,6,2376,1050,Rejected
Good,Unemployed,Land,Good,Other,Collection,Debt Consolidation,25170,32171,79,46,1,2,3,10931,19356,17,2450,3409,Rejected
Good,Self-Employed,None,Poor,Mortgage,Collection,Car Financing,21343,28339,66,14,2,0,2,565,4927,18,1334,4276,Approved
Fair,Self-Employed,House,Poor,Student,Collection,Car Financing,41633,14506,46,10,5,0,2,8226,15436,56,2682,11515,Rejected
Fair,Employed,Investment,Poor,Mortgage,Collection,Car Financing,34327,18314,0,62,0,4,2,8686,11994,1,1658,6112,Rejected
Excellent,Employed,None,Excellent,Auto,Other,Car Financing,24454,34607,63,98,0,0,5,7295,13110,87,4317,5039,Rejected
Fair,Employed,Car,Fair,Other,Collection,Other,48587,18987,91,49,5,2,5,6069,7133,65,2682,10330,Rejected
Poor,Unemployed,Investment,Good,Other,None,Business,47452,25070,71,47,2,4,1,5959,18809,84,1369,9372,Rejected
Good,Employed,Land,Fair,Auto,Collection,Debt Consolidation,35669,36426,77,25,5,2,3,18229,16761,6,3749,13177,Rejected
Fair,Self-Employed,None,Fair,Mortgage,Bankruptcy,Other,20620,17503,21,76,5,5,1,17722,9666,8,3306,1449,Rejected
Fair,Unemployed,None,Good,Auto,Other,Home Improvement,44837,36079,11,24,4,0,2,7096,15665,70,2581,499,Rejected
Fair,Employed,Land,Fair,Auto,Other,Business,42092,38743,90,65,4,2,3,6206,628,5,2981,3891,Rejected
Poor,Employed,House,Poor,Student,None,Debt Consolidation,38416,48134,28,84,5,1,1,5579,1088,66,3673,4920,Rejected
Excellent,Employed,None,Excellent,Other,Other,Debt Consolidation,27602,47511,72,37,5,1,0,12196,6072,18,3366,6945,Rejected
Excellent,Employed,Investment,Good,Personal,None,Debt Consolidation,14090,17199,31,43,4,2,4,17713,8079,45,1564,13200,Rejected
Excellent,Employed,Investment,Poor,Auto,Judgement,Home Improvement,47184,16215,10,59,1,0,2,8840,6312,50,1257,10423,Rejected
Fair,Employed,House,Fair,Mortgage,None,Business,43326,18355,94,79,4,3,5,6893,9375,1,2495,9299,Rejected
Poor,Unemployed,Car,Poor,Auto,Tax Lien,Other,15571,35575,6,69,1,1,4,5337,3751,66,1861,1792,Rejected
Good,Unemployed,Land,Fair,Student,Tax Lien,Car Financing,30510,43231,38,41,4,3,2,8145,17598,97,2834,15320,Rejected
Poor,Unemployed,Land,Poor,Student,Bankruptcy,Car Financing,18552,29937,5,2,4,3,2,557,18478,6,1747,19639,Rejected
Excellent,Unemployed,Investment,Fair,Personal,Bankruptcy,Debt Consolidation,33037,14162,15,88,1,2,5,8918,13812,68,4544,7173,Rejected
Fair,Self-Employed,House,Excellent,Other,Other,Other,36160,47397,81,66,2,0,2,13606,3732,37,3438,12038,Rejected
Fair,Unemployed,House,Poor,Auto,None,Home Improvement,41537,36035,29,76,0,4,2,14274,17305,57,4451,20000,Rejected
Good,Self-Employed,Land,Fair,Other,Tax Lien,Business,20876,15900,87,79,3,1,3,2771,3303,69,3738,12613,Rejected
Good,Self-Employed,House,Poor,Other,Collection,Business,13965,31024,74,68,3,1,2,18118,12325,39,3468,7018,Approved
Excellent,Employed,Car,Fair,Other,None,Other,36583,17675,38,21,1,5,5,6029,8614,19,1631,2914,Rejected
Poor,Self-Employed,Car,Poor,Mortgage,Judgement,Home Improvement,19042,35267,92,6,2,5,5,3213,18642,81,3957,8381,Rejected
Poor,Unemployed,Other,Fair,Personal,Judgement,Home Improvement,45766,35535,67,42,5,4,1,1111,15874,41,2362,632,Rejected
Excellent,Self-Employed,Investment,Fair,Student,Judgement,Other,44567,25616,89,85,2,4,5,19616,18655,58,1198,10590,Rejected
Poor,Unemployed,Investment,Fair,Auto,None,Debt Consolidation,33641,20623,23,51,1,1,3,5614,4121,35,3566,16336,Rejected
Fair,Employed,Land,Excellent,Mortgage,Other,Debt Consolidation,22238,16733,89,13,3,0,1,17472,9722,16,1161,9278,Rejected
Fair,Unemployed,House,Excellent,Student,Other,Debt Consolidation,35774,14997,98,85,2,5,2,3694,5321,21,1233,14910,Rejected
Fair,Self-Employed,Car,Good,Mortgage,None,Other,47506,34188,95,56,3,5,3,18491,7345,32,4653,1733,Rejected
Fair,Unemployed,Land,Poor,Auto,Other,Debt Consolidation,18315,29634,51,93,5,3,2,5902,4571,68,2110,15330,Rejected
Good,Unemployed,Other,Excellent,Personal,Collection,Car Financing,29196,29264,87,15,4,2,1,270,5116,78,4854,4813,Rejected
Good,Unemployed,Investment,Fair,Personal,Collection,Other,24092,28377,2,65,3,3,2,19696,2144,32,3595,9032,Approved
Good,Self-Employed,Other,Fair,Auto,None,Car Financing,25987,12690,85,68,4,0,0,6480,11984,16,4760,5197,Approved
Good,Self-Employed,Car,Excellent,Mortgage,Bankruptcy,Car Financing,49798,47544,7,45,3,0,2,10520,7583,24,1297,2499,Approved
Poor,Unemployed,Other,Good,Mortgage,Tax Lien,Debt Consolidation,47656,24418,19,82,1,4,4,5591,6933,39,3887,8118,Rejected
Fair,Unemployed,Land,Poor,Student,Bankruptcy,Debt Consolidation,32011,19769,30,50,3,0,4,7108,16451,30,4825,6069,Rejected
Fair,Employed,Car,Fair,Personal,None,Debt Consolidation,37085,36857,25,64,4,2,4,12457,15673,90,3028,4384,Rejected
Fair,Self-Employed,Investment,Fair,Personal,None,Car Financing,16000,21008,9,19,1,1,5,669,7982,55,1576,2872,Rejected
Poor,Employed,None,Good,Mortgage,Tax Lien,Other,44544,16204,26,20,0,0,2,18194,15820,71,2589,2201,Rejected
Poor,Unemployed,None,Good,Auto,Tax Lien,Other,32424,37669,46,67,3,1,4,18180,2202,13,2296,11334,Rejected
Fair,Unemployed,Car,Good,Auto,Tax Lien,Car Financing,23899,46872,26,16,4,2,3,2619,15697,48,1285,4295,Rejected
Poor,Employed,Other,Fair,Student,Bankruptcy,Other,35349,29081,63,28,3,4,0,10408,3876,84,4750,11122,Rejected
Excellent,Unemployed,Investment,Excellent,Auto,Other,Business,36339,18294,32,18,1,0,2,10363,2378,3,2046,7003,Rejected
Excellent,Self-Employed,None,Excellent,Personal,Collection,Home Improvement,38676,14050,33,24,0,4,2,13569,18148,85,4289,16141,Rejected
Excellent,Self-Employed,Land,Poor,Student,Bankruptcy,Business,22810,16647,18,31,1,3,5,11687,263,84,1098,8562,Rejected
Fair,Self-Employed,House,Poor,Personal,None,Other,20892,32534,73,98,5,1,5,1951,4105,81,2848,7504,Rejected
Fair,Self-Employed,Car,Good,Student,Judgement,Home Improvement,10577,35608,79,54,2,3,0,282,18379,92,1271,13084,Rejected
Poor,Employed,Car,Poor,Personal,Collection,Other,34066,12660,12,35,3,0,4,10158,15168,7,3503,7230,Rejected
Fair,Employed,Car,Good,Personal,None,Car Financing,30468,47760,63,69,4,2,4,18243,297,88,1193,510,Rejected
Poor,Self-Employed,Car,Excellent,Personal,Tax Lien,Home Improvement,42235,32146,55,76,1,2,4,8963,13303,47,3733,6403,Rejected
Excellent,Employed,Land,Good,Auto,Judgement,Home Improvement,39829,42141,28,13,0,4,4,17084,18397,73,4291,15494,Rejected
Excellent,Self-Employed,Investment,Good,Mortgage,Tax Lien,Other,13174,48450,27,75,4,1,3,14396,18370,27,4733,5033,Rejected
Excellent,Employed,Land,Poor,Auto,None,Debt Consolidation,11773,47473,66,55,5,4,0,10807,18844,48,4993,16170,Rejected
Excellent,Unemployed,Car,Fair,Other,Tax Lien,Home Improvement,23813,42579,22,65,5,3,5,2518,4976,58,1166,4313,Rejected
Fair,Employed,None,Good,Auto,Tax Lien,Business,39344,45045,20,26,2,1,3,18407,10528,58,2867,12597,Rejected
Fair,Unemployed,Land,Poor,Student,None,Other,17147,38484,74,11,0,1,4,18347,2605,29,3729,16988,Rejected
Fair,Self-Employed,Car,Excellent,Auto,Judgement,Car Financing,46289,48656,49,24,3,5,3,13526,11737,46,4151,6039,Rejected
Fair,Self-Employed,Investment,Good,Mortgage,Tax Lien,Other,45669,29553,58,6,1,1,0,17253,2343,83,3728,7048,Rejected
Good,Unemployed,None,Poor,Personal,Tax Lien,Business,46595,25374,75,42,3,1,4,12262,2753,27,4370,14809,Rejected
Fair,Unemployed,None,Excellent,Personal,Tax Lien,Car Financing,32864,10614,97,89,5,3,2,14683,14568,22,1664,7754,Rejected
Poor,Unemployed,Land,Fair,Other,None,Debt Consolidation,35467,39869,55,73,5,0,0,8740,14602,10,3787,4876,Rejected
Poor,Self-Employed,None,Fair,Mortgage,Other,Other,29128,28264,78,30,3,4,1,7180,10457,44,2816,965,Rejected
Fair,Self-Employed,None,Excellent,Auto,Other,Car Financing,36141,19225,51,66,5,1,1,5289,4899,77,4564,19183,Rejected
Good,Unemployed,None,Poor,Personal,Bankruptcy,Debt Consolidation,40274,15382,85,46,5,3,5,14272,11201,1,4322,3300,Rejected
Poor,Self-Employed,Land,Fair,Auto,Bankruptcy,Debt Consolidation,32803,41767,60,76,0,0,2,19424,11887,90,4498,8728,Rejected
Poor,Employed,Land,Excellent,Student,Other,Home Improvement,14663,43468,6,22,4,4,5,13109,6569,74,3421,12648,Rejected
Poor,Self-Employed,Car,Fair,Other,Judgement,Home Improvement,43293,19226,15,80,2,1,2,9144,3134,10,1068,4646,Rejected
Good,Self-Employed,House,Fair,Other,Tax Lien,Business,39044,23034,5,87,0,2,4,2818,8707,11,3141,18590,Approved
Fair,Unemployed,House,Excellent,Student,Collection,Car Financing,24916,44566,93,53,4,0,4,3362,5016,17,4604,13402,Rejected
Fair,Unemployed,Other,Poor,Auto,Judgement,Debt Consolidation,10964,20771,95,54,2,0,5,12723,3822,52,2775,15391,Rejected
Good,Unemployed,Other,Excellent,Auto,Other,Business,32899,29662,24,15,2,5,5,13071,8588,7,1879,12414,Rejected
Fair,Self-Employed,Land,Excellent,Other,None,Business,17574,43469,85,34,3,3,3,8462,16380,45,2169,131,Rejected
Excellent,Self-Employed,Car,Good,Other,Tax Lien,Home Improvement,29703,28151,42,17,2,3,1,620,6370,96,2017,600,Rejected
Good,Unemployed,Other,Fair,Auto,Judgement,Business,20663,20425,70,88,0,5,5,18888,14731,50,3977,10154,Rejected
Fair,Self-Employed,None,Good,Other,Tax Lien,Debt Consolidation,24661,36100,9,80,4,4,2,12068,1326,41,4443,1517,Rejected
Fair,Employed,Investment,Good,Auto,None,Business,39862,23082,4,99,5,2,5,14454,19354,20,3700,9315,Rejected
Excellent,Unemployed,Investment,Excellent,Auto,Collection,Business,48400,34380,57,80,3,1,5,2551,10392,26,3146,1794,Rejected
Poor,Self-Employed,None,Excellent,Mortgage,Judgement,Car Financing,13927,34643,28,12,3,3,2,17215,4362,76,3754,6542,Rejected
Poor,Employed,Investment,Good,Mortgage,Judgement,Business,27071,23578,0,62,3,2,4,5124,8294,53,3813,13015,Rejected
Poor,Unemployed,Land,Excellent,Personal,Collection,Other,29511,30763,87,71,4,3,2,4724,450,77,4394,12622,Rejected
Good,Self-Employed,Land,Good,Personal,Bankruptcy,Car Financing,38222,34848,77,49,1,1,2,12758,12558,27,4168,19619,Approved
Fair,Unemployed,None,Good,Other,Other,Home Improvement,27354,37680,88,22,3,4,3,18242,19639,28,4314,2869,Rejected
Fair,Employed,Investment,Excellent,Other,None,Home Improvement,12132,38498,74,81,1,0,3,10463,6888,53,3585,619,Rejected
Fair,Self-Employed,House,Poor,Auto,Judgement,Other,48186,15677,41,99,4,5,2,15924,12170,60,2903,10859,Rejected
Poor,Unemployed,Other,Good,Auto,Bankruptcy,Car Financing,21811,35481,4,70,5,1,0,16872,11375,99,1925,15259,Rejected
Good,Unemployed,None,Excellent,Personal,Collection,Other,26240,38146,28,65,0,3,4,295,15409,66,1750,11880,Rejected
Excellent,Unemployed,Car,Poor,Auto,Collection,Debt Consolidation,21687,14992,1,9,3,5,3,3451,19458,98,1701,7432,Rejected
Good,Self-Employed,Other,Excellent,Other,Judgement,Business,15840,26332,21,45,4,2,4,8358,13517,73,3795,13336,Approved
Poor,Employed,Car,Excellent,Student,Tax Lien,Other,47867,20045,1,82,0,5,2,19010,13588,31,3964,3101,Rejected
Good,Self-Employed,Other,Excellent,Mortgage,Bankruptcy,Business,19783,45373,33,99,5,4,1,3756,7844,52,2540,3750,Approved
Fair,Employed,Other,Good,Personal,Tax Lien,Home Improvement,28064,14131,43,29,3,1,0,18263,3747,14,3728,114,Rejected
Fair,Employed,Investment,Excellent,Other,Tax Lien,Other,37993,32316,84,76,0,3,0,14810,12244,50,1085,13846,Rejected
Poor,Employed,Other,Excellent,Auto,Other,Business,43146,32628,5,63,1,2,5,14574,4512,79,1014,5877,Rejected
Excellent,Unemployed,Car,Excellent,Other,Tax Lien,Business,18140,44689,29,80,2,2,0,19399,19812,52,1014,9335,Rejected
Good,Employed,House,Fair,Student,Tax Lien,Home Improvement,30562,10259,37,95,4,5,0,1567,19285,83,3059,18512,Approved
Fair,Unemployed,Land,Poor,Personal,Judgement,Car Financing,10652,11218,87,76,3,4,5,5745,3107,88,3226,4070,Rejected
Excellent,Employed,Investment,Fair,Other,Bankruptcy,Car Financing,29543,17126,94,47,4,1,5,19974,13579,51,1353,7797,Rejected
Fair,Unemployed,Land,Excellent,Student,None,Other,18435,17782,8,16,1,1,4,19124,19578,10,2529,3641,Rejected
Good,Self-Employed,Land,Good,Mortgage,Bankruptcy,Other,39904,44257,52,36,3,5,0,8124,486,84,1523,16092,Rejected
Poor,Employed,Other,Excellent,Other,Collection,Home Improvement,24180,19352,93,48,0,0,0,1934,5476,76,4568,6962,Rejected
Fair,Unemployed,Car,Excellent,Mortgage,Other,Other,21836,49117,2,44,5,0,4,9996,16195,43,2734,1240,Rejected
Poor,Self-Employed,Investment,Good,Personal,Collection,Business,15968,34074,20,80,3,0,5,7039,8856,14,4409,10748,Rejected
Fair,Self-Employed,Investment,Fair,Personal,Collection,Debt Consolidation,10871,23551,4,66,0,2,1,10886,12734,80,1275,7504,Rejected
Excellent,Unemployed,House,Excellent,Personal,Tax Lien,Business,35937,41963,64,60,2,5,3,1629,7665,6,2559,18340,Rejected
Good,Self-Employed,Investment,Good,Student,Bankruptcy,Car Financing,47190,37046,37,93,0,3,1,4151,18942,16,3295,15840,Rejected
Poor,Employed,Car,Poor,Mortgage,Judgement,Other,25373,26779,35,67,5,3,2,2818,13831,87,3224,17894,Rejected
Excellent,Unemployed,House,Excellent,Personal,Tax Lien,Home Improvement,29095,28389,37,53,5,0,5,14905,13369,2,1696,14784,Rejected
Fair,Employed,House,Good,Student,Judgement,Car Financing,37915,12141,94,22,2,4,5,19651,7664,98,1094,18749,Rejected
Excellent,Employed,Car,Fair,Personal,Judgement,Home Improvement,17212,38808,51,43,5,3,5,1975,9707,98,3420,16301,Rejected
Good,Unemployed,None,Good,Personal,Tax Lien,Business,30218,35083,82,40,3,2,0,18772,6905,23,3616,10388,Rejected
Fair,Employed,Other,Poor,Student,Other,Home Improvement,12365,25734,7,21,5,5,1,3547,10146,82,4817,19103,Rejected
Good,Unemployed,None,Poor,Mortgage,Tax Lien,Business,37519,17809,71,49,5,4,3,6376,6962,57,2225,2044,Rejected
Fair,Self-Employed,Car,Fair,Student,None,Business,48261,39800,77,80,3,4,0,10335,4788,51,2837,4096,Rejected
Good,Self-Employed,House,Excellent,Personal,Other,Home Improvement,47955,33127,95,80,0,2,4,19687,14843,97,2806,19917,Rejected
Poor,Unemployed,Other,Excellent,Mortgage,Other,Debt Consolidation,46660,11428,58,55,5,5,2,5783,642,0,4787,11355,Rejected
Fair,Unemployed,None,Good,Auto,Collection,Other,13257,11175,0,27,1,0,5,11043,3859,85,3443,2193,Rejected
Good,Unemployed,Investment,Fair,Personal,Collection,Car Financing,21471,28499,6,8,0,0,4,18044,9734,75,2332,5526,Approved
Excellent,Self-Employed,Investment,Good,Personal,Collection,Debt Consolidation,31297,34746,21,66,5,2,2,8630,2799,89,3720,7997,Rejected
Excellent,Employed,Investment,Fair,Auto,Other,Home Improvement,12636,36014,77,91,0,1,1,4657,15769,75,3602,8006,Rejected
